row_id,gen_word1,gen_word2,gen_word3
1,suspicious,bad,scetchy
2,composed,calm,depressed
3,handsome,educated,talkative
4,mean,bad,vile
5,shameful,horrible,dishonest
6,bourgeois,conservative,direct
7,generous,friendly,empathetic
8,violent,rich,ironic
9,good,humble,self-deprecating
10,closed,quiet,sad
11,sad,dissapointed,angry
12,selfish,antisocial,greedy
13,freaks,weird,mean
14,sneaky,smart,cunning
15,musty,crusty,dusty
16,mean,evil,toxic
